id,name,nameAr,price,location,rating,reviewCount,isActive,createdAt
024e2644-5814-46d3-ac1b-84d0c25d577a,Ruby Venue,قاعة الياقوت الأحمر,5300,Fahaheel,3.639216631728239,11,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
21ba82ed-02a9-4e1c-bfde-744c3e75225c,Crystal Palace,قاعة الكريستال,6000,Kuwait City,4.078750067834036,23,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
24602360-ef5f-4305-8f95-89dd9b27036b,Beachside Hall,قاعة الشاطئ,4800,Fahaheel,3.997362340030211,57,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
4784e579-93f5-4f50-8d41-a1012654e9e4,Skyline Venue,قاعة الأفق,5200,Ahmadi,5.342818412516664,23,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
6ed3dfe3-f84c-4626-a29b-0657372f6bf7,Modern Hall,القاعة العصرية,3500,Mishref,5.089748737544502,48,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
7d93e76f-82ec-47ae-9ed1-dde2e9aed456,Pearl Hall,قاعة اللؤلؤ,4400,Jabriya,5.219614070391541,57,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
96d6629d-72ab-4ad0-8371-97009198855d,Golden Hall,القاعة الذهبية,4700,Salmiya,4.456609851717012,56,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
9b0c3a1d-8648-4bcf-aafe-a044b316042b,Sapphire Hall,قاعة الياقوت,4600,Salwa,3.68385151441675,52,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
b3b369e3-5c2b-4bf1-b2da-0b472549ddbf,Grand Ballroom,القاعة الكبرى,4500,Salmiya,4.475754670426725,23,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
b4c34882-55b0-42a4-a493-c229e954dd0a,Elegant Garden,الحديقة الأنيقة,4000,Hawally,3.741085021441412,45,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
b963ba25-eb76-4295-b02b-3a0803a05b6c,Emerald Venue,قاعة الزمرد,5100,Mishref,3.946366021583321,49,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
c802fa70-61d9-42ca-bbb1-119a00fadf12,Luxury Venue,القاعة الفاخرة,5500,Jabriya,3.703293283825672,39,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
ea4e6cb2-46c1-4400-aa0b-2906f3c5f40a,Royal Palace Hall,قاعة القصر الملكي,5000,Kuwait City,4.713789498812715,18,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
f160d3d7-19a7-4def-971b-ba10c981e752,Ruby Venue,قاعة الياقوت الأحمر,12000,https://maps.app.goo.gl/BDTJYshYQifYkUv37,0,0,true,Wed Dec 24 2025 14:01:58 GMT+0200 (Eastern European Standard Time)
f272aa92-bb63-4d62-9f4d-775538b556e1,Diamond Venue,قاعة الماس,5800,Hawally,4.745703862331975,51,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
ff2005d1-d8d8-4fd3-86e0-a0140528ad82,Classic Venue,القاعة الكلاسيكية,4200,Salwa,3.80078111439533,58,true,Wed Dec 24 2025 11:41:28 GMT+0200 (Eastern European Standard Time)
